abbreviation,Win Ratio,conf
MIL,0.7073170731707317,E
BOS,0.6951219512195121,E
PHI,0.6585365853658537,E
CLE,0.6219512195121951,E
NYK,0.573170731707317,E
BKN,0.5487804878048781,E
MIA,0.5365853658536586,E
ATL,0.5,E
TOR,0.5,E
CHI,0.4878048780487805,E
WAS,0.4268292682926829,E
IND,0.4268292682926829,E
ORL,0.4146341463414634,E
CHA,0.32926829268292684,E
DET,0.2073170731707317,E
