abbreviation;conf
ATL;E
BOS;E
BKN;E
CHA;E
CHI;E
CLE;E
DAL;W
DEN;W
DET;E
GSW;W
HOU;W
IND;E
LAC;W
LAL;W
MEM;W
MIA;E
MIL;E
MIN;W
NOP;W
NYK;E
OKC;W
ORL;E
PHI;E
PHX;W
POR;W
SAC;W
SAS;W
TOR;E
UTA;W
WAS;E
