position,average_height_inches,average_weight
Center,83.5,247.6
Forward,79.7,234.5
Guard,75.4,193.8
Forward-Center,82,239.2
Center-Forward,83,254.3
Forward-Guard,81,220.0
Guard-Forward,82,240.0
